name,link
El Toro Taqueria,https://www.yelp.com/biz/el-toro-taqueria-san-francisco?osq=tacos
Casa Mexicana II,https://www.yelp.com/biz/casa-mexicana-ii-san-francisco?osq=tacos
Regalito Rosticeria,https://www.yelp.com/biz/regalito-rosticeria-san-francisco?osq=tacos
Restaurante Familiar,https://www.yelp.com/biz/restaurante-familiar-san-francisco?osq=tacos
La Fisheria,https://www.yelp.com/biz/la-fisheria-san-francisco?osq=tacos
Arguello,https://www.yelp.com/biz/arguello-san-francisco?osq=tacos
Dolce,https://www.yelp.com/biz/dolce-san-francisco-2?osq=tacos
Las Brisas de Acapulco,https://www.yelp.com/biz/las-brisas-de-acapulco-san-francisco?osq=tacos
Carmelina’s Taqueria,https://www.yelp.com/biz/carmelinas-taqueria-san-francisco?osq=tacos
El Buen Comer,https://www.yelp.com/biz/el-buen-comer-san-francisco-6?osq=tacos
Puerto Alegre Restaurant No 2,https://www.yelp.com/biz/puerto-alegre-restaurant-no-2-san-francisco?osq=tacos
Box Kitchen,https://www.yelp.com/biz/box-kitchen-san-francisco?osq=tacos
Castillito Yucateco,https://www.yelp.com/biz/castillito-yucateco-san-francisco-5?osq=tacos
Little Joe’s Pizzeria,https://www.yelp.com/biz/little-joes-pizzeria-san-francisco?osq=tacos
Cantina Verde,https://www.yelp.com/biz/cantina-verde-san-francisco?osq=tacos
The Boardroom,https://www.yelp.com/biz/the-boardroom-san-francisco?osq=tacos
Prosper,https://www.yelp.com/biz/prosper-san-francisco-5?osq=tacos
Pedro’s Cantina,https://www.yelp.com/biz/pedros-cantina-san-francisco?osq=tacos
Roosevelt Sip N Eat,https://www.yelp.com/biz/roosevelt-sip-n-eat-san-francisco?osq=tacos
La Torta Gorda,https://www.yelp.com/biz/la-torta-gorda-san-francisco?osq=tacos
Puerto Alegre,https://www.yelp.com/biz/puerto-alegre-san-francisco?osq=tacos
Victor’s,https://www.yelp.com/biz/victors-san-francisco-2?osq=tacos
Taqueria Estrella,https://www.yelp.com/biz/taqueria-estrella-san-francisco?osq=tacos
El Azteca Taqueria,https://www.yelp.com/biz/el-azteca-taqueria-san-francisco?osq=tacos
Playa Azul - Temp. CLOSED,https://www.yelp.com/biz/playa-azul-san-francisco?osq=tacos
Las Cocineras Restaurant,https://www.yelp.com/biz/las-cocineras-restaurant-san-francisco?osq=tacos
Beyond The Border,https://www.yelp.com/biz/beyond-the-border-san-francisco?osq=tacos
Taco Bell,https://www.yelp.com/biz/taco-bell-san-francisco-14?osq=tacos
Off the Grid: 5M,https://www.yelp.com/biz/off-the-grid-5m-san-francisco?osq=tacos
Taqueria La Paz,https://www.yelp.com/biz/taqueria-la-paz-san-francisco-2?osq=tacos
Reinas Restaurant,https://www.yelp.com/biz/reinas-restaurant-san-francisco?osq=tacos
Last Drop Tavern,https://www.yelp.com/biz/last-drop-tavern-san-francisco?osq=tacos
Los Cuates Taqueria - Daly City,https://www.yelp.com/biz/los-cuates-taqueria-daly-city-daly-city?osq=tacos
Redford,https://www.yelp.com/biz/redford-san-francisco-2?osq=tacos
Taco Bell,https://www.yelp.com/biz/taco-bell-san-francisco?osq=tacos
The Codmother Fish and Chips,https://www.yelp.com/biz/the-codmother-fish-and-chips-san-francisco?osq=tacos
Señor Sisig,https://www.yelp.com/biz/se%C3%B1or-sisig-san-francisco-3?osq=tacos
Los Metates,https://www.yelp.com/biz/los-metates-daly-city?osq=tacos
Mango’s Taqueria and Cantina,https://www.yelp.com/biz/mangos-taqueria-and-cantina-san-francisco?osq=tacos
La Santaneca De La Mission,https://www.yelp.com/biz/la-santaneca-de-la-mission-san-francisco?osq=tacos
Go Jojo Mojo,https://www.yelp.com/biz/go-jojo-mojo-san-francisco?osq=tacos
